Time,Rate,Error,Fracexp
2019-09-12 01:03:22.229260,4.657602,2.1581478,1.0
2019-09-12 01:03:23.229260,3.4772296,1.8647331,1.0
2019-09-12 01:03:24.229260,3.4351614,1.8534188,1.0
2019-09-12 01:03:25.229260,2.3392274,1.5294533,1.0
2019-09-12 01:03:26.229260,4.564618,2.1364968,1.0
2019-09-12 01:03:27.229260,6.892177,2.6252956,1.0
2019-09-12 01:03:28.229260,11.558815,3.3998258,1.0
2019-09-12 01:03:29.229260,4.6024895,2.1453414,1.0
2019-09-12 01:03:30.229260,6.933695,2.633191,1.0
2019-09-12 01:03:31.229260,2.3322117,1.527158,1.0
2019-09-12 01:03:32.229260,6.899715,2.626731,1.0
2019-09-12 01:03:33.229260,8.14688,2.854274,1.0
2019-09-12 01:03:34.229260,8.07583,2.8418005,1.0
2019-09-12 01:03:35.229260,4.68244,2.1638947,1.0
2019-09-12 01:03:36.229260,5.8101044,2.410416,1.0
2019-09-12 01:03:37.229260,3.4702837,1.8628697,1.0
2019-09-12 01:03:38.229260,5.7564497,2.3992603,1.0
2019-09-12 01:03:39.229260,8.069406,2.8406699,1.0
2019-09-12 01:03:40.229260,3.4438689,1.8557664,1.0
2019-09-12 01:03:41.229260,9.208454,3.0345435,1.0
2019-09-12 01:03:42.229260,3.4256513,1.8508515,1.0
2019-09-12 01:03:43.229260,5.838837,2.4163685,1.0
2019-09-12 01:03:44.229260,2.261746,1.5039102,1.0
2019-09-12 01:03:45.229260,9.254748,3.0421617,1.0
2019-09-12 01:03:46.229260,4.6334295,2.1525402,1.0
2019-09-12 01:03:47.229260,3.4730337,1.8636076,1.0
2019-09-12 01:03:48.229260,11.732282,3.425242,1.0
2019-09-12 01:03:49.229260,10.375876,3.2211607,1.0
2019-09-12 01:03:50.229260,8.109493,2.8477173,1.0
2019-09-12 01:03:51.229260,5.7842407,2.4050448,1.0
2019-09-12 01:03:52.229260,3.5121942,1.8740848,1.0
2019-09-12 01:03:53.229260,8.124479,2.8503473,1.0
2019-09-12 01:03:54.229260,3.472913,1.8635753,1.0
2019-09-12 01:03:55.229260,0.0,0.0,1.0
2019-09-12 01:03:56.229260,4.6163607,2.1485717,1.0
2019-09-12 01:03:57.229260,2.3142958,1.521281,1.0
2019-09-12 01:03:58.229260,6.9148803,2.629616,1.0
2019-09-12 01:03:59.229260,11.5363245,3.3965166,1.0
2019-09-12 01:04:00.229260,4.703263,2.1687007,1.0
2019-09-12 01:04:01.229260,3.4784062,1.8650485,1.0
2019-09-12 01:04:02.229260,9.209002,3.0346336,1.0
2019-09-12 01:04:03.229260,4.6285844,2.1514144,1.0
2019-09-12 01:04:04.229260,3.4212286,1.8496563,1.0
2019-09-12 01:04:05.229260,7.021245,2.649763,1.0
2019-09-12 01:04:06.229260,4.6336846,2.1525996,1.0
2019-09-12 01:04:07.229260,3.4499316,1.8573991,1.0
2019-09-12 01:04:08.229260,5.792591,2.4067802,1.0
2019-09-12 01:04:09.229260,4.6520557,2.1568625,1.0
2019-09-12 01:04:10.229260,4.62914,2.1515436,1.0
2019-09-12 01:04:11.229260,10.35466,3.2178657,1.0
2019-09-12 01:04:12.229260,2.3548021,1.5345365,1.0
2019-09-12 01:04:13.229260,2.3599641,1.5362175,1.0
2019-09-12 01:04:14.229260,6.940111,2.6344092,1.0
2019-09-12 01:04:15.229260,5.7557445,2.3991132,1.0
2019-09-12 01:04:16.229260,5.7397103,2.3957694,1.0
2019-09-12 01:04:17.229260,1.1794126,1.0860076,1.0
2019-09-12 01:04:18.229260,5.7486887,2.3976424,1.0
2019-09-12 01:04:19.229260,2.3496072,1.5328429,1.0
2019-09-12 01:04:20.229260,5.782541,2.4046915,1.0
2019-09-12 01:04:21.229260,4.640479,2.1541772,1.0
2019-09-12 01:04:22.229260,9.268656,3.0444467,1.0
2019-09-12 01:04:23.229260,5.7665663,2.4013677,1.0
2019-09-12 01:04:24.229260,6.9138184,2.629414,1.0
2019-09-12 01:04:25.229260,1.1138115,1.0553727,1.0
2019-09-12 01:04:26.229260,6.881391,2.6232405,1.0
2019-09-12 01:04:27.229260,3.4566534,1.8592077,1.0
2019-09-12 01:04:28.229260,1.1497297,1.0722545,1.0
2019-09-12 01:04:29.229260,4.5737543,2.1386337,1.0
2019-09-12 01:04:30.229260,3.4656527,1.8616264,1.0
2019-09-12 01:04:31.229260,3.526917,1.8780087,1.0
2019-09-12 01:04:32.229260,3.4825552,1.8661605,1.0
2019-09-12 01:04:33.229260,6.9910583,2.6440609,1.0
2019-09-12 01:04:34.229260,3.499872,1.8707945,1.0
2019-09-12 01:04:35.229260,3.5160549,1.8751147,1.0
2019-09-12 01:04:36.229260,7.0033965,2.646393,1.0
2019-09-12 01:04:37.229260,9.285248,3.0471704,1.0
2019-09-12 01:04:38.229260,2.364948,1.5378387,1.0
2019-09-12 01:04:39.229260,3.463465,1.8610387,1.0
2019-09-12 01:04:40.229260,6.966435,2.6394005,1.0
2019-09-12 01:04:41.229260,4.6054807,2.1460383,1.0
2019-09-12 01:04:42.229260,2.3324614,1.5272398,1.0
2019-09-12 01:04:43.229260,6.9379206,2.6339934,1.0
2019-09-12 01:04:44.229260,3.483265,1.8663507,1.0
2019-09-12 01:04:45.229260,4.597145,2.1440954,1.0
2019-09-12 01:04:46.229260,2.3194094,1.5229608,1.0
2019-09-12 01:04:47.229260,3.45922,1.8598979,1.0
2019-09-12 01:04:48.229260,2.301535,1.517081,1.0
2019-09-12 01:04:49.229260,5.780794,2.404328,1.0
2019-09-12 01:04:50.229260,3.4938848,1.8691937,1.0
2019-09-12 01:04:51.229260,3.4994113,1.8706714,1.0
2019-09-12 01:04:52.229260,9.256715,3.042485,1.0
2019-09-12 01:04:53.229260,1.172771,1.0829455,1.0
2019-09-12 01:04:54.229260,4.569793,2.1377075,1.0
2019-09-12 01:04:55.229260,4.659856,2.15867,1.0
2019-09-12 01:04:56.229260,11.698577,3.4203184,1.0
2019-09-12 01:04:57.229260,3.4497683,1.8573552,1.0
2019-09-12 01:04:58.229260,5.7157464,2.3907628,1.0
2019-09-12 01:04:59.229260,6.9334025,2.6331356,1.0
2019-09-12 01:05:00.229260,3.4583766,1.8596711,1.0
2019-09-12 01:05:01.229260,1.1673511,1.0804403,1.0
2019-09-12 01:05:02.229260,5.7670503,2.4014683,1.0
2019-09-12 01:05:03.229260,3.4006917,1.8440964,1.0
2019-09-12 01:05:04.229260,1.1517448,1.0731938,1.0
2019-09-12 01:05:05.229260,3.5358217,1.880378,1.0
2019-09-12 01:05:06.229260,1.1397066,1.0675704,1.0
2019-09-12 01:05:07.229260,6.9310756,2.6326935,1.0
2019-09-12 01:05:08.229260,3.4074414,1.8459256,1.0
2019-09-12 01:05:09.229260,2.3046556,1.5181092,1.0
2019-09-12 01:05:10.229260,5.735761,2.394945,1.0
2019-09-12 01:05:11.229260,3.4005036,1.8440454,1.0
2019-09-12 01:05:12.229260,6.981971,2.6423419,1.0
2019-09-12 01:05:13.229260,3.429147,1.8517957,1.0
2019-09-12 01:05:14.229260,2.2895129,1.5131136,1.0
2019-09-12 01:05:15.229260,1.1138269,1.05538,1.0
2019-09-12 01:05:16.229260,2.2927985,1.514199,1.0
2019-09-12 01:05:17.229260,3.4778388,1.8648964,1.0
2019-09-12 01:05:18.229260,4.5975404,2.1441877,1.0
2019-09-12 01:05:19.229260,4.654273,2.1573765,1.0
2019-09-12 01:05:20.229260,6.9588604,2.6379652,1.0
2019-09-12 01:05:21.229260,4.6298857,2.151717,1.0
2019-09-12 01:05:22.229260,0.0,0.0,1.0
2019-09-12 01:05:23.229260,3.4762738,1.8644768,1.0
2019-09-12 01:05:24.229260,9.265297,3.043895,1.0
2019-09-12 01:05:25.229260,5.8059516,2.4095542,1.0
2019-09-12 01:05:26.229260,4.691439,2.165973,1.0
2019-09-12 01:05:27.229260,4.654104,2.1573372,1.0
2019-09-12 01:05:28.229260,2.2898223,1.5132159,1.0
2019-09-12 01:05:29.229260,2.3256266,1.5250006,1.0
2019-09-12 01:05:30.229260,1.1278948,1.0620239,1.0
2019-09-12 01:05:31.229260,1.185453,1.0887852,1.0
2019-09-12 01:05:32.229260,6.966515,2.6394157,1.0
2019-09-12 01:05:33.229260,1.144373,1.0697538,1.0
2019-09-12 01:05:34.229260,2.303209,1.5176327,1.0
2019-09-12 01:05:35.229260,6.918544,2.6303124,1.0
